yelp_category;manual_mapped_schema;cosine_similarity
interior design;None;[('entry point', 0.4279), ('room', 0.4161), ('cover art', 0.3983), ('home and construction business', 0.3979), ('city hall', 0.3964)]
nail technician;nail salon;[('nail salon', 0.6979), ('electrician', 0.509), ('locksmith', 0.4939), ('hair salon', 0.4379), ('dentistry', 0.4248)]
dive shop;None;[('resort', 0.557), ('hobby shop', 0.5364), ('liquor store', 0.5081), ('shopping center', 0.4996), ('clothing store', 0.4986)]
guest house;None;[('house', 0.7668), ('hotel room', 0.6223), ('accommodation', 0.5719), ('room', 0.5695), ('hotel', 0.5616)]
men's hair salon;hair salon;[('hair salon', 0.8774), ('beauty salon', 0.7275), ('nail salon', 0.6691), ('mens clothing store', 0.5053), ('health and beauty business', 0.4166)]
brewery;brewery;[('brewery', 1.0), ('winery', 0.6698), ('distillery', 0.6464), ('liquor store', 0.6051), ('bar or pub', 0.4966)]
boxing;None;[('school', 0.4493), ('lung', 0.4462), ('sports event', 0.442), ('bridge', 0.4341), ('sports team', 0.4274)]
do-it-yourself food;None;[('eat action', 0.4985), ('food service', 0.4325), ('food establishment', 0.4194), ('food event', 0.4138), ('cook action', 0.4116)]
eyebrow service;None;[('service', 0.5238), ('hair salon', 0.5212), ('professional service', 0.5001), ('beauty salon', 0.4932), ('nail salon', 0.4577)]
convenience store;convenience store;[('convenience store', 1.0), ('grocery store', 0.6847), ('store', 0.6566), ('department store', 0.6501), ('outlet store', 0.6329)]
life insurance;insurance agency;[('insurance agency', 0.5991), ('health insurance plan', 0.5651), ('health care', 0.4399), ('living with health aspect', 0.3767), ('healthcare consideration', 0.3765)]
physical therapy;physical therapy;[('physical therapy', 1.0), ('medical therapy', 0.734), ('physiotherapy', 0.6466), ('physical activity', 0.6452), ('occupational therapy', 0.6049)]
general dentistry;general dentistry;[('dentistry', 0.8471), ('dentist', 0.7451), ('general contractor', 0.4925), ('specialty', 0.4479), ('medical specialty', 0.4248)]
historical building;historical building;[('landmarks or historical buildings', 0.8286), ('government building', 0.6479), ('legislative building', 0.6063), ('museum', 0.5503), ('city hall', 0.4986)]
internet service provider;None;[('cable or satellite service', 0.549), ('payment service', 0.5133), ('service channel', 0.5084), ('service', 0.4977), ('internet cafe', 0.4931)]
rifle range;None;[('distance', 0.4328), ('postal code range specification', 0.4065), ('warranty scope', 0.3962), ('weapon consideration', 0.3559), ('mountain', 0.3507)]
boat repair;None;[('boat trip', 0.619), ('boat terminal', 0.5827), ('boat reservation', 0.5802), ('auto repair', 0.5781), ('motorcycle repair', 0.5629)]
funeral service;None;[('cemetery', 0.645), ('emergency service', 0.5976), ('service', 0.566), ('hospital', 0.5617), ('crematorium', 0.5585)]
fertility;obstetrics;[('pregnancy health aspect', 0.5082), ('obstetric', 0.5014), ('midwifery', 0.4736), ('gynecologic', 0.435), ('genetic', 0.4277)]
electronics repair;None;[('auto repair', 0.595), ('electronics store', 0.5582), ('motorcycle repair', 0.5574), ('damaged condition', 0.5443), ('refurbished condition', 0.4302)]
health market;None;[('medical business', 0.6392), ('health care', 0.6339), ('health and beauty business', 0.618), ('public health', 0.5606), ('health club', 0.5543)]
herbal shop;None;[('garden store', 0.6044), ('department store', 0.5656), ('grocery store', 0.5599), ('home goods store', 0.5598), ('hobby shop', 0.5473)]
singaporean;None;[('country', 0.4903), ('city', 0.3893), ('person', 0.3756), ('male', 0.365), ('traditional chinese', 0.3639)]
card;credit card;[('credit card', 0.7351), ('payment card', 0.7162), ('game', 0.48), ('collection', 0.4552), ('ticket', 0.4511)]
ev charging station;None;[('outlet store', 0.4344), ('bus station', 0.4286), ('train station', 0.4274), ('police station', 0.401), ('parking facility', 0.3853)]
patisserie shop;None;[('hobby shop', 0.5129), ('grocery store', 0.4974), ('clothing store', 0.493), ('furniture store', 0.4925), ('ice cream shop', 0.4912)]
post office;post office;[('post office', 1.0), ('postal address', 0.7399), ('government office', 0.6336), ('job posting', 0.5899), ('parcel delivery', 0.5584)]
barbeque;None;[('bar or pub', 0.5336), ('restaurant', 0.45), ('barcode', 0.45), ('brewery', 0.3946), ('distillery', 0.3817)]
pickleball;None;[('game', 0.3393), ('pond', 0.3384), ('sports team', 0.3382), ('play', 0.3269), ('choose action', 0.3249)]
waffle;None;[('recipe', 0.4367), ('bed and breakfast', 0.415), ('bakery', 0.3971), ('head', 0.385), ('time', 0.3554)]
telecommunication;None;[('service channel', 0.5306), ('radio channel', 0.5242), ('broadcast channel', 0.5077), ('cable or satellite service', 0.4895), ('broadcast service', 0.4762)]
trainer;None;[('strength training', 0.558), ('muscle', 0.5227), ('exercise gym', 0.5142), ('physiotherapy', 0.4573), ('physical therapy', 0.4553)]
dialysis clinic;medical clinic;[('medical clinic', 0.6071), ('renal', 0.5601), ('hospital', 0.5323), ('clinician', 0.4944), ('health club', 0.4524)]
shoe store;shoe store;[('shoe store', 1.0), ('department store', 0.6833), ('clothing store', 0.681), ('hardware store', 0.6526), ('sporting goods store', 0.6458)]
registration service;None;[('service', 0.623), ('payment service', 0.5097), ('government service', 0.5003), ('register action', 0.4875), ('professional service', 0.4697)]
cabaret;None;[('night club', 0.5065), ('comedy club', 0.4998), ('music venue', 0.4831), ('restaurant', 0.4574), ('furniture store', 0.4452)]
dinner theater;None;[('movie theater', 0.7515), ('theater event', 0.7128), ('performing arts theater', 0.6525), ('theater group', 0.647), ('restaurant', 0.6005)]
israeli;None;[('synagogue', 0.4902), ('country', 0.468), ('state', 0.3924), ('mosque', 0.3763), ('attorney', 0.376)]
empanada;None;[('protozoa', 0.4106), ('fd acategorya', 0.3776), ('emergency', 0.358), ('nonprofitanbi', 0.3559), ('fungus', 0.347)]
religious school;None;[('school', 0.6611), ('elementary school', 0.6357), ('church', 0.6235), ('middle school', 0.5856), ('catholic church', 0.5806)]
wine bar;None;[('winery', 0.7054), ('bar or pub', 0.63), ('liquor store', 0.5464), ('brewery', 0.5381), ('barcode', 0.4989)]
snowboard shop;None;[('ice cream shop', 0.6043), ('hobby shop', 0.5474), ('bike store', 0.5265), ('hardware store', 0.5226), ('pawn shop', 0.4988)]
bus rental;None;[('bus station', 0.7422), ('bus trip', 0.7302), ('bus reservation', 0.7051), ('bus stop', 0.6388), ('bus or coach', 0.6335)]
cambodian;None;[('country', 0.4551), ('language', 0.4343), ('traditional chinese', 0.4285), ('physician', 0.3832), ('pet', 0.3679)]
osteopathic physician;osteopathic;[('osteopathic', 0.8707), ('physician', 0.6454), ('homeopathic', 0.5973), ('medical researcher', 0.5422), ('chiropractic', 0.5284)]
concept shop;None;[('hobby shop', 0.6166), ('toy store', 0.548), ('shopping center', 0.5466), ('department store', 0.5312), ('auto body shop', 0.5307)]
dental hygienist;dentist;[('dentist', 0.7153), ('dentistry', 0.6507), ('clinician', 0.5018), ('physician', 0.4345), ('plumber', 0.4196)]
photography store;None;[('electronics store', 0.6237), ('clothing store', 0.6219), ('garden store', 0.6143), ('online store', 0.5845), ('furniture store', 0.5779)]
ayurveda;ayurvedic;[('ayurvedic', 0.8262), ('hindu diet', 0.4763), ('dietary supplement', 0.3605), ('medical therapy', 0.3573), ('therapeutic', 0.3438)]
ip law;None;[('broadcast service', 0.3416), ('legislation', 0.3247), ('internet cafe', 0.3182), ('international trial', 0.3158), ('legal force status', 0.3027)]
pet boarding;None;[('pet', 0.5986), ('pet store', 0.5161), ('animal shelter', 0.4848), ('group boarding policy', 0.4812), ('veterinary care', 0.4627)]
cocktail bar;bar or pub;[('bar or pub', 0.7056), ('brewery', 0.5851), ('liquor store', 0.5798), ('restaurant', 0.5364), ('distillery', 0.5247)]
soul food;None;[('food establishment', 0.5297), ('food service', 0.4903), ('food event', 0.4901), ('recipe', 0.4878), ('diet', 0.4811)]
credit union;bank or credit union;[('bank or credit union', 0.8537), ('credit card', 0.6078), ('workers union', 0.5872), ('payment service', 0.5739), ('financial service', 0.5617)]
local fish store;None;[('grocery store', 0.5696), ('sporting goods store', 0.5444), ('pet store', 0.5368), ('online store', 0.5367), ('garden store', 0.5354)]
mongolian;None;[('traditional chinese', 0.4662), ('language', 0.4519), ('ayurvedic', 0.4166), ('country', 0.4147), ('pet', 0.3994)]
indonesian;None;[('language', 0.4992), ('country', 0.4504), ('traditional chinese', 0.4078), ('pet', 0.3962), ('restaurant', 0.3899)]
billing service;payment service;[('payment service', 0.7847), ('accounting service', 0.6387), ('payment card', 0.5816), ('service', 0.5679), ('financial service', 0.567)]
skiing;ski resort;[('ski resort', 0.7427), ('mountain', 0.4939), ('resort', 0.4754), ('season', 0.4351), ('trip', 0.427)]
supper club;None;[('night club', 0.6385), ('restaurant', 0.6178), ('comedy club', 0.5858), ('health club', 0.5773), ('food establishment', 0.5301)]
wholesaler;wholesaler;[('wholesale', 0.9008), ('wholesale store', 0.8767), ('tire shop', 0.5277), ('clothing store', 0.5188), ('retail', 0.5137)]
office equipment;office equipment store;[('office equipment store', 0.7874), ('medical device', 0.523), ('government office', 0.4433), ('post office', 0.4315), ('medical device purpose', 0.421)]
advertising;None;[('business audience', 0.5751), ('advertiser content article', 0.5541), ('entertainment business', 0.5246), ('product', 0.5056), ('demand', 0.4985)]
circuit training gym;None;[('exercise gym', 0.6846), ('strength training', 0.5515), ('train station', 0.4317), ('course instance', 0.4139), ('physical activity category', 0.3974)]
snorkeling;None;[('boat trip', 0.4059), ('float', 0.3684), ('aquarium', 0.3492), ('lung', 0.3486), ('canal', 0.3474)]
mental health;psychiatric;[('psychiatric', 0.7959), ('psychological treatment', 0.6719), ('health care', 0.5503), ('medical therapy', 0.5178), ('community health', 0.5074)]
hair removal;None;[('hair salon', 0.6204), ('surgical', 0.4916), ('surgical procedure', 0.4769), ('nail salon', 0.439), ('beauty salon', 0.4208)]
cannabis clinic;None;[('medical clinic', 0.6708), ('hospital', 0.5282), ('clinician', 0.52), ('health club', 0.4944), ('drug class', 0.4885)]
air duct cleaning;None;[('cleaning fee', 0.3936), ('dry cleaning or laundry', 0.3826), ('hvac business', 0.3754), ('respiratory therapy', 0.3338), ('auto wash', 0.3075)]
new mexican cuisine;None;[('recipe', 0.5441), ('restaurant', 0.4932), ('food establishment', 0.4893), ('fast food restaurant', 0.4887), ('food event', 0.4618)]
local flavor;None;[('local business', 0.5447), ('recipe', 0.4839), ('brewery', 0.4316), ('food establishment', 0.4306), ('ice cream shop', 0.4271)]
architect;None;[('house painter', 0.5457), ('real estate agent', 0.5332), ('sculpture', 0.4943), ('government building', 0.4905), ('occupation', 0.4596)]
airport shuttle;None;[('airport', 0.7884), ('airline', 0.6431), ('flight', 0.6141), ('flight reservation', 0.5105), ('taxi', 0.4907)]
tenant and eviction law;None;[('rent action', 0.5251), ('apartment', 0.4169), ('offer for lease', 0.3863), ('residence', 0.3622), ('rental car reservation', 0.3384)]
veggie;vegetarian diet;[('vegetarian diet', 0.4524), ('recipe', 0.4322), ('food establishment', 0.4271), ('diet', 0.4271), ('food service', 0.4178)]
art school;school;[('art gallery', 0.6468), ('school', 0.6368), ('elementary school', 0.634), ('high school', 0.574), ('middle school', 0.5619)]
cosmetic;None;[('appearance', 0.5994), ('skin', 0.578), ('plastic surgery', 0.5233), ('superficial anatomy', 0.4998), ('dermatologic', 0.4594)]
popcorn shop;None;[('grocery store', 0.6506), ('ice cream shop', 0.5925), ('toy store', 0.578), ('garden store', 0.5671), ('shopping center', 0.5653)]
kids activity;childrens event;[('childrens event', 0.6903), ('preschool', 0.5677), ('pediatric', 0.5378), ('child care', 0.4568), ('playground', 0.4497)]
consignment;thrift store;[('alignment object', 0.44), ('joint', 0.4289), ('order', 0.4118), ('order delivered', 0.4052), ('downpayment', 0.4036)]
rental insurance;None;[('auto rental', 0.6339), ('rent action', 0.6024), ('rental vehicle usage', 0.5907), ('insurance agency', 0.5636), ('rental car reservation', 0.5373)]
drive-in theater;None;[('movie theater', 0.7268), ('performing arts theater', 0.6231), ('theater event', 0.6206), ('theater group', 0.601), ('left hand driving', 0.4466)]
laser eye surgery;None;[('surgical procedure', 0.5943), ('surgical', 0.589), ('eye', 0.5033), ('optician', 0.4937), ('medical procedure', 0.4792)]
cardiologist;None;[('physician', 0.6149), ('cardiovascular', 0.5957), ('cardiovascular exam', 0.5799), ('medical researcher', 0.5557), ('clinician', 0.5466)]
spirit;None;[('substance', 0.4356), ('appearance', 0.4243), ('skin', 0.4236), ('action', 0.4015), ('ear', 0.3976)]
powder coating;None;[('substance', 0.4191), ('chemical substance', 0.4105), ('skin', 0.3727), ('paint action', 0.3467), ('recipe', 0.3326)]
outdoor furniture store;furniture store;[('furniture store', 0.8588), ('garden store', 0.6094), ('hardware store', 0.5915), ('office equipment store', 0.5845), ('clothing store', 0.572)]
personal assistant;None;[('employment agency', 0.4898), ('professional service', 0.4771), ('user interaction', 0.4624), ('occupation', 0.4584), ('government office', 0.4322)]
jewelry;jewlery store;[('jewelry store', 0.7865), ('pawn shop', 0.4721), ('sculpture', 0.4721), ('art gallery', 0.4274), ('ear', 0.3954)]
food delivery service;food service;[('food service', 0.8557), ('food establishment', 0.6965), ('parcel service', 0.6442), ('food establishment reservation', 0.6307), ('parcel delivery', 0.6098)]
rehabilitation center;None;[('medical clinic', 0.5355), ('physical therapy', 0.5234), ('health club', 0.5016), ('hospital', 0.4997), ('recycling center', 0.4962)]
delicatessen;None;[('joint', 0.4225), ('florist', 0.4057), ('wholesale', 0.4053), ('clothing store', 0.3926), ('food establishment', 0.3881)]
club crawl;None;[('sports club', 0.5922), ('night club', 0.5533), ('health club', 0.5342), ('comedy club', 0.4613), ('hackathon', 0.4402)]
gold buyer;None;[('trade action', 0.4629), ('sale event', 0.4627), ('jewelry store', 0.4619), ('pawn shop', 0.4618), ('sell action', 0.4568)]
medical;medical business;[('physician', 0.8038), ('medical specialty', 0.7591), ('medical study', 0.7554), ('medical business', 0.7482), ('medical therapy', 0.7461)]
coffee;cafe or coffee shop;[('cafe or coffee shop', 0.6176), ('internet cafe', 0.4941), ('reservoir', 0.4867), ('brewery', 0.4808), ('taxi', 0.4469)]
investing;investment fund;[('investment fund', 0.7464), ('investment or deposit', 0.6831), ('financial product', 0.5385), ('out of stock', 0.4409), ('in stock', 0.4349)]
astrologer;None;[('energy star certified', 0.3513), ('observational', 0.3457), ('researcher', 0.3394), ('date', 0.3187), ('event', 0.318)]
vacation rental;None;[('resort', 0.6283), ('rent action', 0.6169), ('auto rental', 0.6167), ('hotel', 0.6113), ('movie rental store', 0.5926)]
bike;None;[('motorcycle', 0.7601), ('motorized bicycle', 0.735), ('bike store', 0.6476), ('vehicle', 0.5818), ('car', 0.5559)]
beach bar;None;[('beach', 0.7503), ('bar or pub', 0.6689), ('restaurant', 0.5522), ('sports club', 0.4806), ('night club', 0.4677)]
sip;None;[('drink action', 0.5376), ('brewery', 0.4306), ('reservoir', 0.4276), ('throat', 0.398), ('automated teller', 0.394)]
park;park;[('park', 1.0), ('rv park', 0.7264), ('amusement park', 0.6962), ('parking facility', 0.6726), ('parking map', 0.6016)]
party bike rental;None;[('bike store', 0.5852), ('auto rental', 0.4794), ('rv park', 0.4459), ('movie rental store', 0.4437), ('rent action', 0.4394)]
packing supply;None;[('how to supply', 0.7425), ('parcel delivery', 0.527), ('quantity', 0.501), ('order delivered', 0.4501), ('wholesale', 0.4456)]
special education;None;[('educational occupational program', 0.5013), ('education event', 0.4923), ('educational organization', 0.4898), ('medical specialty', 0.4891), ('specialty', 0.4691)]
metal detector service;None;[('service', 0.4235), ('emergency service', 0.4095), ('government service', 0.4028), ('laboratory science', 0.392), ('police station', 0.3684)]
bakery;bakery;[('bakery', 1.0), ('restaurant', 0.5552), ('grocery store', 0.5546), ('food establishment', 0.5262), ('ice cream shop', 0.4992)]
bartender;None;[('bar or pub', 0.6077), ('restaurant', 0.5288), ('brewery', 0.5246), ('distillery', 0.5053), ('winery', 0.4892)]
hong kong style cafe;None;[('cafe or coffee shop', 0.5991), ('internet cafe', 0.5355), ('traditional chinese', 0.4543), ('restaurant', 0.4516), ('fast food restaurant', 0.4219)]
peruvian;None;[('continent', 0.4611), ('country', 0.4466), ('nonprofitanbi', 0.3511), ('zoo', 0.346), ('male', 0.3368)]
macaron;None;[('restaurant', 0.373), ('recipe', 0.3539), ('menu', 0.3432), ('neuro', 0.3299), ('bone', 0.3262)]
editorial service;None;[('newspaper', 0.5706), ('service', 0.5443), ('professional service', 0.5367), ('news media organization', 0.5249), ('government service', 0.5188)]
furniture repair;None;[('furniture store', 0.6632), ('auto repair', 0.484), ('damaged condition', 0.4469), ('surgical', 0.3579), ('bed details', 0.3563)]
carpet installation;None;[('install action', 0.3502), ('apartment', 0.3333), ('floor plan', 0.3271), ('apartment complex', 0.2954), ('how to step', 0.2804)]
boat tour;boat trip;[('boat trip', 0.8464), ('boat reservation', 0.6637), ('trip', 0.5774), ('resort', 0.5751), ('boat terminal', 0.5734)]
mortgage broker;None;[('mortgage loan', 0.6941), ('real estate agent', 0.646), ('brokerage account', 0.6426), ('financial service', 0.5049), ('real estate listing', 0.4243)]
sushi bar;None;[('restaurant', 0.4548), ('bar or pub', 0.4413), ('fast food restaurant', 0.4012), ('food establishment', 0.3674), ('recipe', 0.3558)]
filipino;None;[('traditional chinese', 0.394), ('protozoa', 0.3784), ('person', 0.3694), ('country', 0.3638), ('female', 0.3614)]
private school;school;[('school', 0.6656), ('elementary school', 0.6497), ('school district', 0.6101), ('middle school', 0.5736), ('high school', 0.5322)]
smog check station;None;[('fire station', 0.5261), ('police station', 0.4721), ('gas station', 0.4376), ('bus station', 0.4314), ('train station', 0.3991)]
professional service;professional service;[('professional service', 1.0), ('service', 0.7422), ('legal service', 0.6208), ('government service', 0.6076), ('specialty', 0.5973)]
visitor center;tourist information center;[('tourist information center', 0.705), ('shopping center', 0.6199), ('tourist attraction', 0.573), ('hotel', 0.5323), ('accommodation', 0.524)]
pathologist;None;[('physician', 0.6303), ('clinician', 0.6188), ('pathology', 0.6154), ('medical researcher', 0.5821), ('researcher', 0.5603)]
lawn service;None;[('service', 0.586), ('parcel service', 0.5729), ('government service', 0.5652), ('food service', 0.5511), ('professional service', 0.4831)]
skydiving;None;[('flight', 0.5695), ('travel action', 0.4441), ('airline', 0.39), ('leisure time activity', 0.3804), ('move action', 0.37)]
sri lankan;None;[('country', 0.4559), ('ngo', 0.3695), ('restaurant', 0.3657), ('neck', 0.338), ('tourist destination', 0.3324)]
sewing;None;[('clothing store', 0.3971), ('dry cleaning or laundry', 0.3826), ('surgical', 0.3689), ('wholesale', 0.3612), ('auto wash', 0.3473)]
dermatologist;dermatology;[('dermatology', 0.8725), ('dermatologic', 0.772), ('clinician', 0.6267), ('physician', 0.5651), ('pathology', 0.5609)]
golf equipment;None;[('golf course', 0.6465), ('sporting goods store', 0.4889), ('office equipment store', 0.4506), ('hobby shop', 0.3994), ('sports club', 0.366)]
gardener;None;[('florist', 0.5527), ('garden store', 0.5439), ('plumber', 0.4143), ('electrician', 0.3883), ('fungus', 0.3774)]
piano store;None;[('music store', 0.7362), ('furniture store', 0.6346), ('book store', 0.5916), ('shoe store', 0.5783), ('jewelry store', 0.5658)]
sleep specialist;None;[('clinician', 0.5161), ('physician', 0.5024), ('medical specialty', 0.4921), ('medical researcher', 0.4817), ('specialty', 0.4801)]
drone;None;[('flight', 0.4854), ('vehicle', 0.4486), ('motorcycle', 0.4175), ('car', 0.4146), ('movie', 0.3749)]
holistic animal care;None;[('veterinary care', 0.6275), ('animal shelter', 0.487), ('health care', 0.454), ('homeopathic', 0.4198), ('may treat health aspect', 0.4006)]
arabic;None;[('language', 0.5502), ('computer language', 0.4743), ('mosque', 0.4464), ('pronounceable text', 0.3907), ('text', 0.3514)]
memory care;None;[('self storage', 0.441), ('health care', 0.4216), ('child care', 0.4145), ('patient', 0.377), ('neuro', 0.3648)]
locksmith;locksmith;[('locksmith', 1.0), ('auto dealer', 0.4649), ('motorcycle dealer', 0.4607), ('pawn shop', 0.4468), ('electrician', 0.4341)]
chicken shop;None;[('grocery store', 0.6151), ('garden store', 0.5867), ('clothing store', 0.5819), ('pet store', 0.5805), ('shopping center', 0.564)]
hair salon;hair salon;[('hair salon', 1.0), ('beauty salon', 0.8355), ('nail salon', 0.7675), ('health and beauty business', 0.4624), ('department store', 0.4623)]
beer bar;bar or pub;[('brewery', 0.7632), ('bar or pub', 0.7245), ('liquor store', 0.5953), ('restaurant', 0.5317), ('winery', 0.5187)]
bar crawl;None;[('bar or pub', 0.4792), ('barcode', 0.4603), ('wp side bar', 0.3897), ('park', 0.3721), ('playground', 0.3596)]
arena;stadium or arena;[('stadium or arena', 0.7586), ('event venue', 0.5509), ('sports organization', 0.5174), ('sports event', 0.4994), ('sports club', 0.4961)]
psychic;None;[('psychiatric', 0.4054), ('automated teller', 0.401), ('person', 0.3695), ('event', 0.3575), ('number', 0.3421)]
olive oil;None;[('recipe', 0.4449), ('dietary supplement', 0.4149), ('some products', 0.4117), ('skin', 0.3742), ('ingredients health aspect', 0.3609)]
smoothy;None;[('appearance', 0.4047), ('product', 0.4045), ('user likes', 0.3997), ('skin', 0.3841), ('head', 0.3703)]
nutritionist;None;[('diet nutrition', 0.6536), ('nutrition information', 0.5935), ('diet', 0.5876), ('food service', 0.5224), ('physician', 0.5207)]
senegalese;None;[('country', 0.4044), ('continent', 0.4028), ('language', 0.3828), ('ngo', 0.361), ('person', 0.348)]
frozen yogurt;None;[('ice cream shop', 0.4288), ('recipe', 0.4024), ('throat', 0.3642), ('food event', 0.3587), ('food service', 0.3536)]
laundry;dry cleaning or laundry;[('dry cleaning or laundry', 0.7889), ('auto wash', 0.6471), ('clothing store', 0.5493), ('mens clothing store', 0.4241), ('school', 0.4192)]
courthouse;courthouse;[('courthouse', 1.0), ('notary', 0.5209), ('legal service', 0.4894), ('state', 0.4748), ('attorney', 0.4619)]
emergency medicine;None;[('emergency service', 0.7925), ('emergency', 0.7721), ('hospital', 0.6133), ('medical clinic', 0.6121), ('medicine system', 0.5997)]
process server;None;[('game server', 0.5508), ('game server status', 0.4754), ('service', 0.3993), ('order processing', 0.391), ('web application', 0.3726)]
door installation;None;[('locksmith', 0.3377), ('install action', 0.315), ('gated residence community', 0.3096), ('how to step', 0.2991), ('house', 0.283)]
biohazard cleanup;None;[('crematorium', 0.4627), ('cemetery', 0.4128), ('medical procedure', 0.3972), ('cleaning fee', 0.3867), ('surgical', 0.3712)]
costume;None;[('appearance', 0.5972), ('wear action', 0.5196), ('movie', 0.4806), ('role', 0.45), ('clothing store', 0.4392)]
high school;high school;[('high school', 1.0), ('elementary school', 0.79), ('school', 0.781), ('middle school', 0.7539), ('school district', 0.5958)]
comedy club;comedy club;[('comedy club', 1.0), ('comedy event', 0.6736), ('night club', 0.6603), ('health club', 0.644), ('sports club', 0.6312)]
reproductive health service;None;[('midwifery', 0.5629), ('health care', 0.5312), ('gynecologic', 0.529), ('service', 0.519), ('child care', 0.5155)]
golf;None;[('golf course', 0.7863), ('flight', 0.488), ('play', 0.4807), ('sports club', 0.4707), ('video game', 0.4685)]
hydro-jetting;None;[('vessel', 0.3669), ('bridge', 0.3524), ('boat trip', 0.3496), ('auto wash', 0.3208), ('ocean body of water', 0.318)]
computer repiar;None;[('computer store', 0.5285), ('computer language', 0.4925), ('virus', 0.3917), ('web site', 0.3839), ('software application', 0.3793)]
hardware store;hardware store;[('hardware store', 1.0), ('electronics store', 0.7576), ('computer store', 0.6844), ('furniture store', 0.6833), ('office equipment store', 0.6781)]
makerspace;None;[('room', 0.498), ('place', 0.4547), ('compilation album', 0.4424), ('hobby shop', 0.4129), ('studio album', 0.403)]
general litigation;legal service;[('attorney', 0.5003), ('legal service', 0.4964), ('authoritative legal value', 0.4377), ('general contractor', 0.4265), ('pay action', 0.4252)]
siding;None;[('house', 0.4171), ('roofing contractor', 0.4075), ('house painter', 0.3866), ('legislative building', 0.3842), ('bridge', 0.3566)]
car wash;auto wash;[('auto wash', 0.8344), ('dry cleaning or laundry', 0.6453), ('car', 0.4894), ('vehicle', 0.4152), ('auto repair', 0.398)]
donburi;None;[('nonprofitanbi', 0.3892), ('otc', 0.3313), ('nonprofitsbbi', 0.3302), ('hackathon', 0.3051), ('head', 0.2981)]
party planning;None;[('plan action', 0.5598), ('floor plan', 0.4839), ('dance event', 0.4371), ('social event', 0.4364), ('theater event', 0.4257)]
medical spa;None;[('medical clinic', 0.7024), ('day spa', 0.6521), ('hospital', 0.6256), ('medical specialty', 0.5907), ('medical business', 0.5905)]
furniture rental;None;[('furniture store', 0.7392), ('rent action', 0.5494), ('auto rental', 0.5485), ('accommodation', 0.5471), ('movie rental store', 0.5419)]
valet service;None;[('service', 0.5974), ('taxi service', 0.5673), ('professional service', 0.5438), ('food service', 0.5398), ('motel', 0.5375)]
